index,period,attendances
883,2017-01-01,6107
884,2017-01-01,78
885,2017-01-01,7081
886,2017-01-01,2359
887,2017-01-01,3575
888,2017-01-01,743
889,2017-01-01,10847
890,2017-01-01,1130
891,2017-01-01,1385
892,2017-01-01,6350
893,2017-01-01,4327
894,2017-01-01,2243
895,2017-01-01,17366
896,2017-01-01,1932
897,2017-01-01,4225
898,2017-01-01,2160
899,2017-01-01,1109
900,2017-01-01,3286
901,2017-01-01,5404
902,2017-01-01,1561
903,2017-01-01,19422
904,2017-01-01,7502
905,2017-01-01,5630
906,2017-01-01,1446
907,2017-01-01,1889
908,2017-01-01,6848
909,2017-01-01,10715
910,2017-01-01,1213
911,2017-01-01,8126
912,2017-01-01,7370
913,2017-01-01,21943
914,2017-01-01,4227
915,2017-01-01,3681
916,2017-01-01,7521
917,2017-01-01,1720
918,2017-01-01,10253
919,2017-01-01,8292
920,2017-01-01,4549
921,2017-01-01,9180
922,2017-01-01,1129
923,2017-01-01,6672
924,2017-01-01,9800
925,2017-01-01,5567
926,2017-01-01,4925
927,2017-01-01,599
928,2017-01-01,6048
929,2017-01-01,4838
930,2017-01-01,8609
931,2017-01-01,5522
932,2017-01-01,7257
933,2017-01-01,7037
934,2017-01-01,9872
935,2017-01-01,1605
936,2017-01-01,4543
937,2017-01-01,6275
938,2017-01-01,4337
939,2017-01-01,8151
940,2017-01-01,6612
941,2017-01-01,1612
942,2017-01-01,6598
943,2017-01-01,3667
944,2017-01-01,4317
945,2017-01-01,7665
946,2017-01-01,2493
947,2017-01-01,418
948,2017-01-01,6852
949,2017-01-01,8546
950,2017-01-01,5978
951,2017-01-01,8219
952,2017-01-01,1387
953,2017-01-01,3401
954,2017-01-01,3629
955,2017-01-01,5085
956,2017-01-01,2938
957,2017-01-01,11727
958,2017-01-01,963
959,2017-01-01,4856
960,2017-01-01,6779
961,2017-01-01,1258
962,2017-01-01,3291
963,2017-01-01,2222
964,2017-01-01,1065
965,2017-01-01,7669
966,2017-01-01,8267
967,2017-01-01,1496
968,2017-01-01,3402
969,2017-01-01,3602
970,2017-01-01,11837
971,2017-01-01,4930
972,2017-01-01,8771
973,2017-01-01,847
974,2017-01-01,19458
975,2017-01-01,5056
976,2017-01-01,10613
977,2017-01-01,6556
978,2017-01-01,4932
979,2017-01-01,8914
980,2017-01-01,1108
981,2017-01-01,615
982,2017-01-01,3244
983,2017-01-01,1170
984,2017-01-01,5276
985,2017-01-01,3190
986,2017-01-01,11206
